id,latitude,longitude
299877805,12.9782455,80.2121558
299877816,12.9771928,80.2104943
299877829,12.9778418,80.2125242
299877858,12.9791936,80.2127891
299877896,12.976905,80.2105243
299877897,12.9777188,80.2104521
299877917,12.9768351,80.2103521
299878024,12.9788956,80.2072713
299878196,12.97835,80.210307
299878227,12.978862,80.2089784
299878252,12.9787681,80.2103069
299878272,12.9792644,80.2089583
299878326,12.9781717,80.2116564
299878327,12.9789436,80.2116257
299878329,12.9786004,80.2138023
299878370,12.9791713,80.2104884
299878391,12.982113,80.210983
299878409,12.9792201,80.2111804
299878550,12.9801897,80.2085845
299878653,12.9826623,80.2165878
299878655,12.9824483,80.2132334
299878685,12.9808884,80.2138631
299878686,12.9809449,80.2146907
299878697,12.9809614,80.2154167
299878738,12.9764425,80.2153619
299878744,12.9788194,80.2150165
299878818,12.9743413,80.2196271
299878821,12.9748205,80.2185518
299878850,12.9741889,80.2185631
299878883,12.9738228,80.2185729
299878915,12.9744638,80.2185705
299878960,12.9718764,80.2170494
299878983,12.972552,80.2171758
299879028,12.9718013,80.2180806
299879030,12.97272,80.2171823
299879097,12.9726714,80.2181858
299879114,12.9731871,80.2181852
299879128,12.9731728,80.2190276
299879154,12.973194,80.2172007
299879174,12.970997,80.217994
299879177,12.9717386,80.219175
299879215,12.9716815,80.2205423
299879241,12.9700973,80.220318
299879259,12.971114,80.2198786
299879272,12.9704653,80.2244578
299879280,12.9717808,80.2199798
299879312,12.9714412,80.2205079
299879508,12.9870544,80.213009
299879549,12.9844852,80.212922
299880309,13.0017156,80.211069
299880374,12.9973492,80.2104953
299880376,12.9981363,80.2090726
299880408,12.9963202,80.2155158
299880454,12.9951235,80.2102166
299880477,12.9929006,80.208776
299880479,12.9960608,80.2087899
299880497,12.9937412,80.2088474
299880505,12.9963669,80.2074862
299880546,12.9968018,80.2075807
299880547,12.9935527,80.2068043
299880562,12.9965635,80.2090681
299880589,12.999357,80.2107792
299880590,12.9994245,80.2099131
299880823,12.9839509,80.2086941
299880831,12.9843653,80.2086685
299880833,12.9847126,80.2064893
299880835,12.9842325,80.2064368
299880839,12.9840265,80.2079165
299880845,12.9814073,80.2077325
299880851,12.9794747,80.2135356
299880853,12.9794987,80.2143804
299880855,12.9796167,80.2174796
299880900,12.9791439,80.2143845
299880913,12.9798739,80.2134958
299881054,12.9818408,80.2159843
299881056,12.9816848,80.2138483
299881747,12.9827525,80.20644
299881748,12.9828782,80.2047995
299881750,12.984469,80.2076556
299881772,12.9824436,80.2103144
299881867,12.9837709,80.2103069
299881932,12.9822399,80.2159642
299881935,12.9817255,80.2138456
299881938,12.9809486,80.2145667
299881944,12.9802379,80.2144188
299881945,12.9799251,80.2153232
299882980,12.9844982,80.2131015
299883186,12.9736468,80.2164206
299883187,12.9737726,80.2136613
299883188,12.9736528,80.213639
299883205,12.9742839,80.2137557
299883210,12.9726837,80.2150515
299883297,12.9844609,80.21784
299883303,12.982295,80.2166103
299883305,12.9831247,80.2171571
299883308,12.9817226,80.2166428
299883310,12.9825931,80.2159299
299883311,12.9816467,80.2130956
299883320,12.9810784,80.2210148
299883324,12.9817464,80.2199103
299883329,12.9814744,80.2180551
299883330,12.9814509,80.2179509
299883577,12.9820912,80.2138286
299883586,12.9823292,80.2121849
299883587,12.9843757,80.2165411
299883594,12.9832734,80.2135758
299883595,12.9836701,80.2135611
299883685,12.9795652,80.2161314
299883712,12.9795877,80.2168711
